x_left_m,y_left_m,x_center_m,y_center_m,x_right_m,y_right_m
18.179671355015987,-22.776276601537848,18.819538647721583,-21.41960057251485,19.459405940427178,-20.06292454349185
17.8009952193528,-22.581866507101967,18.52525025631721,-21.268300885813225,19.249505293281622,-19.954735264524484
17.44525585441434,-22.37253290322534,18.235577844290148,-21.09762461149658,19.025899834165955,-19.82271631976782
17.110873986556477,-22.155041327216118,17.949786373646873,-20.911567963292992,18.78869876073727,-19.668094599369866
16.794978860722924,-21.934509693532032,17.667140806393867,-20.71412715493052,18.53930275206481,-19.493744616329007
16.495280560613814,-21.7155338205352,17.386906104537537,-20.509298400137205,18.27853164846126,-19.30306297973921
16.210140136374662,-21.50242050191761,17.10834723008439,-20.301077912641126,18.00655432379412,-19.099735323364644
15.93859266126396,-21.299319482467872,16.83072914504087,-20.093461906170333,17.72286562881778,-18.887604329872794
15.680365683461073,-21.110264748198233,16.553316811413417,-19.890446594452875,17.42626793936576,-18.670628440707517
15.435810279617971,-20.93906107864417,16.275375191208518,-19.696028191216826,17.114940102799064,-18.452995303789482
15.202573743564189,-20.787013617259024,15.99617845853532,-19.5141461628964,16.78978317350645,-18.241278708533773
14.974015184920765,-20.65086519450302,15.715309303411445,-19.34683949311093,16.456603421902127,-18.042813791718842
14.745698877144951,-20.527256906626537,15.432724643388177,-19.193841893767484,16.1197504096314,-17.86042688090843
14.517011604650826,-20.415389362998706,15.14840390423864,-19.054748424315317,15.779796203826454,-17.69410748563193
14.28755164432607,-20.314662661605848,14.862326511735994,-18.929154144203697,15.437101379145917,-17.543645626801545
14.056890629004497,-20.224528267966363,14.574471891653452,-18.816654112881928,15.092053154302407,-17.408779957797492
13.824586832933578,-20.144493879238482,14.284819469764145,-18.716843389799283,14.745052106594711,-17.289192900360085
13.590199014591475,-20.07412510257859,13.993348671841254,-18.62931703440504,14.396498329091033,-17.18450896623149
13.35329975234372,-20.013043926345457,13.70003892365795,-18.55367010614848,14.04677809497218,-17.094296285951504
13.113487310611653,-19.960924295921018,13.404869650987392,-18.48949766447888,13.69625199136313,-17.01807103303674
12.87039529428199,-19.917485372537747,13.107820279602748,-18.43639476884551,13.345245264923507,-16.955304165153272
12.623699640277659,-19.88248321703578,12.808870235277183,-18.39395647869766,12.994040830276708,-16.90542974035954
12.373122802931741,-19.85570168910304,12.507998943783882,-18.361777853484625,12.642875084636023,-16.86785401786621
12.118435265114583,-19.836943297972216,12.205185830896,-18.33945395265566,12.291936396677416,-16.841964607339104
11.859454716238298,-19.8260206108576,11.900410322386712,-18.326579835660056,11.941365928535125,-16.82713906046251
11.596043366466143,-19.822748655486023,11.59365184402916,-18.32275056194709,11.591260321592179,-16.822752468408154
11.328103915941783,-19.826938575766118,11.28488982159655,-18.32756119096604,11.241675727251318,-16.828183806165963
11.055574682767874,-19.838392639973787,10.97410368086203,-18.340606782166184,10.892632678956184,-16.84282092435858
10.77842433364299,-19.856900573740678,10.66127284759876,-18.36148239499681,10.544121361554529,-16.86606421625294
10.496646576696127,-19.882237101082236,10.34637674757992,-18.38978308890719,10.196106918463714,-16.897329076732145
10.210255084165816,-19.914160524013994,10.029394806578676,-18.42510392334661,9.848534528991536,-16.93604732267923
9.919278825406618,-19.952412148991453,9.7103064503682,-18.46703995776435,9.501334075329783,-16.981667766537246
9.623757915631058,-19.996716368704035,9.38909110472165,-18.51518625160968,9.154424293812243,-17.033656134515326
9.323740026064646,-20.046781222941583,9.065728195412184,-18.56913786433188,8.807716364759722,-17.091494505722174
9.019277357099146,-20.102299285736848,8.740197148213007,-18.62848985538024,8.461116939326867,-17.154680425023635
8.710424146045842,-20.162948752734444,8.412477388897251,-18.692837284204035,8.11453063174866,-17.222725815673627
8.397234662789138,-20.228394629286473,8.082548343238102,-18.761775210252544,7.767862023687066,-17.295155791218615
8.079761637359356,-20.298289944020436,7.750389437008721,-18.83489869297505,7.421017236658086,-17.371507441929662
7.758055060691051,-20.372276933502043,7.415980095982267,-18.911802791820826,7.073905131273483,-17.451328650139608
7.432161301483408,-20.44998816078696,7.079299745931923,-18.992082566239155,6.726438190380438,-17.534176971691352
7.102122486456678,-20.531047544244934,6.740327812630856,-19.07533307567932,6.378533138805033,-17.619618607113708
